,T,i
207,0.104,-0.00406713
208,0.1045,-0.00406164
209,0.105,-0.00405676
210,0.1055,-0.00405035
211,0.106,-0.00404425
212,0.1065,-0.00403997
213,0.107,-0.00403448
214,0.1075,-0.00402807
215,0.108,-0.0040238
216,0.1085,-0.00401861
217,0.109,-0.00401373
218,0.1095,-0.00400793
219,0.11,-0.00400244
220,0.1105,-0.00399938
221,0.111,-0.00399084
222,0.1115,-0.00398504
223,0.112,-0.00398046
224,0.1125,-0.00397589
225,0.113,-0.00396917
226,0.1135,-0.00396551
227,0.114,-0.00396154
228,0.1145,-0.00395544
229,0.115,-0.00394934
230,0.1155,-0.00394445
231,0.116,-0.00394048
232,0.1165,-0.00393347
233,0.117,-0.00393041
234,0.1175,-0.00392278
235,0.118,-0.00391821
236,0.1185,-0.00391302
237,0.119,-0.00390783
238,0.1195,-0.00390447
239,0.12,-0.00389929
240,0.1205,-0.00389318
241,0.121,-0.00388799
242,0.1215,-0.00388372
243,0.122,-0.00388006
244,0.1225,-0.00387396
245,0.123,-0.00386846
246,0.1235,-0.00386388
247,0.124,-0.00386114
248,0.1245,-0.00385381
249,0.125,-0.00385168
250,0.1255,-0.00384405
251,0.126,-0.00383978
252,0.1265,-0.00383459
253,0.127,-0.0038297
254,0.1275,-0.00382726
255,0.128,-0.00382238
256,0.1285,-0.0038175
257,0.129,-0.00381414
258,0.1295,-0.00380895
259,0.13,-0.00380468
260,0.1305,-0.00379797
261,0.131,-0.00379156
262,0.1315,-0.0037882
263,0.132,-0.00378484
264,0.1325,-0.00378088
265,0.133,-0.0037763
266,0.1335,-0.00377111
267,0.134,-0.00376592
268,0.1345,-0.00376379
269,0.135,-0.00375799
270,0.1355,-0.00375341
271,0.136,-0.00374914
272,0.1365,-0.00374547
273,0.137,-0.00373968
274,0.1375,-0.00373662
275,0.138,-0.00373205
276,0.1385,-0.00372625
277,0.139,-0.00372259
278,0.1395,-0.0037177
279,0.14,-0.00371435
280,0.1405,-0.0037116
281,0.141,-0.00370519
282,0.1415,-0.00370183
283,0.142,-0.00369573
284,0.1425,-0.0036939
285,0.143,-0.00368963
